(58, 57, 20, 0.22722961560641844)
(57, 49, 22, 0.87415727612153782)
(49, 57, 8, -0.24253562503633297)
(57, 57, 3, nan)
(57, 57, 3, nan)
(57, 57, 3, nan)
(57, 57, 3, nan)
(57, 57, 3, nan)
(57, 57, 3, nan)
(57, 57, 20, 0.21693045781865616)
(57, 57, 11, 0.85749292571254421)
(57, 57, 3, nan)
(57, 57, 6, 0.21693045781865616)
(57, 50, 13, 0.92847669088525941)
(50, 59, 11, 0.44721359549995793)
(59, 52, 10, 0.99999999999999978)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 52, 6, nan)
(52, 51, 21, -0.70710678118654746)
(51, 0, 8, 0.0)
(0, 0, 6, nan)
(0, 0, 6, nan)
